en,es,description,file,hash
"Click to load a new captcha","Haz clic para cargar un nuevo captcha",,site/modules/FrontendForms/Formelements/Captcha/AbstractCaptcha.php,b52dc33684da9e3d394738b7d0dd2725
"Reload image","Recargar imagen",,site/modules/FrontendForms/Formelements/Captcha/AbstractCaptcha.php,7c89feb583d9e778c3533017b111263d
Captcha,Captcha,,site/modules/FrontendForms/Formelements/Captcha/AbstractCaptcha.php,45d048c35e3cfd449dc0a1b503cd103a
"Please select what you see in the image above.","Por favor, selecciona lo que ves en la imagen de arriba.",,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,118f3464042a036c52a1087e923a307e
Animal,Animal,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,161e7ce7bfdc89ab4b9f52c1d4c94212
Car,Auto,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,e9989db5dabeea617f40c8dbfd07f5fb
Flower,Flor,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,338d1f8007f0c84287d9963d5ea36aeb
House,Casa,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,aebfe46795575772b7cf413e25caeab9
Lake,Lago,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,bc03219e367d3a4b7b1758c8af598174
Mountain,Montaña,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,ec9903c79dd510ffa43f69ee867a9002
Tree,Árbol,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,3b0c14770e6bd663518496da60f524da
"CAPTCHA field for SPAM protection","Campo CAPTCHA para protección contra SPAM",,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,2caf429ed0a858c9cb2b6456d1914fe1
"I am a human","Soy humano",,site/modules/FrontendForms/Formelements/Captcha/AbstractSliderCaptcha.php,da1e1af671e5b51f10c9fe3f494fbb3f
"This file is not a TrueType font file.","Este archivo no es un archivo de fuente TrueType.",,site/modules/FrontendForms/Formelements/Captcha/AbstractTextCaptcha.php,ad1ca00ca558c196b2ffa224309706e4
"This file does not exist under the specified path","Este archivo no existe en la ruta especificada",,site/modules/FrontendForms/Formelements/Captcha/AbstractTextCaptcha.php,d472945618bae0b84ca5082c7d916966
"Captcha field for security","Campo CAPTCHA para seguridad",,site/modules/FrontendForms/Formelements/Captcha/AbstractTextCaptcha.php,f985413aacdc4d6e125cd3b6fb2a3eae
"Image captcha","Captcha de imagen",,site/modules/FrontendForms/Formelements/Captcha/variants/DefaultImageCaptcha.php,1e27db1c7a9a959ca4cd75964525fa2d
"Assign the image to a category","Asigna la imagen a una categoría",,site/modules/FrontendForms/Formelements/Captcha/variants/DefaultImageCaptcha.php,5972e22698d0e9faba6397ce1b6b6f74
"Random string captcha","Captcha de cadena aleatoria",,site/modules/FrontendForms/Formelements/Captcha/variants/DefaultTextCaptcha.php,7c62e8d4b13ecc03f28bb44905a5ec51
"Enter the text from the image in the input field.","Ingresa el texto de la imagen en el campo de entrada.",,site/modules/FrontendForms/Formelements/Captcha/variants/DefaultTextCaptcha.php,3c6c9439c3e38d0da29b7629a300c3c5
"Even string captcha","Captcha de cadena par",,site/modules/FrontendForms/Formelements/Captcha/variants/EvenCharacterTextCaptcha.php,07919a26035f7d7aaec32087cc2c0b4d
"Enter every second character of the text from the image in the input field.","Ingresa cada segundo carácter del texto de la imagen en el campo de entrada.",,site/modules/FrontendForms/Formelements/Captcha/variants/EvenCharacterTextCaptcha.php,923fb30f185465aa974330e30a9a97c7
"Reverse string captcha","Captcha de cadena invertida",,site/modules/FrontendForms/Formelements/Captcha/variants/ReverseTextCaptcha.php,d8c8728824019c0866b958d0b2562edd
"Enter the text from the image in reverse order into the input field (from right to left).","Ingresa el texto de la imagen en orden inverso en el campo de entrada (de derecha a izquierda).",,site/modules/FrontendForms/Formelements/Captcha/variants/ReverseTextCaptcha.php,167b8554feab7647d47863b05a0da92f
"Math captcha","Captcha matemático",,site/modules/FrontendForms/Formelements/Captcha/variants/SimpleMathTextCaptcha.php,d0995c2ec8c5df0820426833eb777396
"Enter the result of the calculation in the input field.","Ingresa el resultado del cálculo en el campo de entrada.",,site/modules/FrontendForms/Formelements/Captcha/variants/SimpleMathTextCaptcha.php,dc841e6076d43a6c8b03338a39a97e68
"Simple question Captcha (Free text)","Captcha de pregunta simple (texto libre)",,site/modules/FrontendForms/Formelements/Captcha/variants/SimpleQuestionCaptcha.php,7f8c93e381be10c3cb9bebaa31387873
"Please answer the question.","Por favor, responde la pregunta.",,site/modules/FrontendForms/Formelements/Captcha/variants/SimpleQuestionCaptcha.php,dd037cafd7ea6b996985f42b3598e6d6
"Slider Captcha","Captcha de deslizador",,site/modules/FrontendForms/Formelements/Captcha/variants/SliderCaptcha.php,c323bd0275e1fed3b8343e450e3c7378
"Move a puzzle piece.","Mueve una pieza del rompecabezas.",,site/modules/FrontendForms/Formelements/Captcha/variants/SliderCaptcha.php,eff39d161054adaf3995f2c7988aaef2
"must be unique. This username is already in use. Please choose another username.","debe ser único. Este nombre de usuario ya está en uso. Por favor, elige otro nombre de usuario.",,site/modules/FrontendForms/Formelements/CustomRules.php,5f20144817f8a8a10c0c3e42aaacb234
"and username do not match.","y el nombre de usuario no coinciden.",,site/modules/FrontendForms/Formelements/CustomRules.php,0692f1d96297b3d3ebb476ecb909b71f
"does not meet the conditions.","no cumple con las condiciones.",,site/modules/FrontendForms/Formelements/CustomRules.php,a19a1f724a26244cf7542e78fce6082d
"contains not allowed characters. User name may contain lowercase a-z, 0-9, hyphen or underscore (no whitespaces).","contiene caracteres no permitidos. El nombre de usuario puede contener letras minúsculas a-z, 0-9, guion o guion bajo (sin espacios en blanco).",,site/modules/FrontendForms/Formelements/CustomRules.php,efde12902a00485cee4d631f54f55f81
"must be unique. This email is already in use. Please use another email address.","debe ser único. Este correo electrónico ya está en uso. Por favor, usa otra dirección de correo electrónico.",,site/modules/FrontendForms/Formelements/CustomRules.php,b413595e71b40c70836a66e8f056896d
"entered is not the same password as the one, that is stored in the database.","ingresada no es la misma contraseña que la almacenada en la base de datos.",,site/modules/FrontendForms/Formelements/CustomRules.php,8233c64b0291b99ef0d07c47db79105a
"and email do not match.","y el correo electrónico no coinciden.",,site/modules/FrontendForms/Formelements/CustomRules.php,c557836813d5c70d5972372d2a7a9ed4
"is not Boolean true.","no es verdadero booleano.",,site/modules/FrontendForms/Formelements/CustomRules.php,d31207aca9f42e43d83c917e59838466
"is not Boolean false.","no es falso booleano.",,site/modules/FrontendForms/Formelements/CustomRules.php,42debde15fa968c06bc0d5b38d569ee1
"does not have the expected value.","no tiene el valor esperado.",,site/modules/FrontendForms/Formelements/CustomRules.php,3bfd649d64d7881e876082ba4296ea72
"is not correct.","no es correcto.",,site/modules/FrontendForms/Formelements/CustomRules.php,2f7e4c69803bcbdc44e9404b3e3ac19b
"entered must be different than the value specified.","ingresado debe ser diferente del valor especificado.",,site/modules/FrontendForms/Formelements/CustomRules.php,d5aa7f638be76a8922285c2a5fffe4c7
"entered must be different from the old password.","ingresada debe ser diferente de la contraseña anterior.",,site/modules/FrontendForms/Formelements/CustomRules.php,9dc911237765edb7f22808f0b2102b63
"value entered is not correct.","el valor ingresado no es correcto.",,site/modules/FrontendForms/Formelements/CustomRules.php,4d9ecb529945a9c05dc622c41cb7ab08
"value is in the list of the most popular passwords and therefore not save. Please select another one.","el valor está en la lista de las contraseñas más populares y, por lo tanto, no es seguro. Por favor, selecciona otro.",,site/modules/FrontendForms/Formelements/CustomRules.php,5da3ffa343c2825257dc7f7b35b1ff21
"is larger than the allowed filesize.","es mayor que el tamaño de archivo permitido.",,site/modules/FrontendForms/Formelements/CustomRules.php,05e14bb8d5644c5393b8ba6b3047cd2c
"caused an error during the upload.","causó un error durante la carga.",,site/modules/FrontendForms/Formelements/CustomRules.php,e73de70795c028bc6fabdaf499a9e38f
"does not belong to the allowed file types: %s.","no pertenece a los tipos de archivo permitidos: %s.",,site/modules/FrontendForms/Formelements/CustomRules.php,e9104007e1d2a05266de336a3d10a55b
