ID,EN-US,ES-ES
0,"",""
1,"TO THE PASCHAL VICTIM","A LA VÍCTIMA PASCUAL"
2,"BROTHERS","A NADIE DEMOS OCASIÓN DE TROPIEZO"
3,"TO YOU I LIFT UP MY EYES","A TI LEVANTO MIS OJOS"
4,"TO YOU, O LORD, WITH MY VOICE I CRY FOR HELP","A TI, SEÑOR, EN MI CLAMOR IMPLORO"
5,"TO YOU, O LORD, I LIFT UP MY SOUL","A TI, SEÑOR, LEVANTO MI ALMA"
6,"TO YOU O LORD","A TI, SEÑOR, SE DEBE LA ALABANZA EN SIÓN"
7,"ABBA FATHER","ABBÁ, PADRE"
8,"ABRAHAM","ABRAHAM"
9,"ACCLAIM THE LORD","ACLAMAD AL SEÑOR"
10,"WHEN I AWAKE","AL DESPERTAR"
11,"PRAISE THE LORD FROM THE HEAVENS","ALABAD AL SEÑOR EN EL CIELO"
12,"","ALEGRÍA, HA NACIDO EL SALVADOR"
13,"ALLELUIA, PRAISE GOD","ALELUYA, ALABAD AL SEÑOR"
14,"BLESS THE LORD","ALELUYA, BENDECID AL SEÑOR"
15,"ALLELUIA, HERE COMES THE KINGDOM","ALELUYA, YA LLEGÓ EL REINO"
16,"GATES LIFT UP YOUR HEADS","ALZAOS, PUERTAS"
17,"AMEN, AMEN, AMEN","AMÉN, AMÉN, AMÉN"
18,"I LOVE THE LORD","AMO AL SEÑOR"
19,"AKEDA","AQUEDAH"
20,"THUS SPEAKS THE AMEN","ASÍ HABLA EL AMÉN"
21,"HAIL MARY","AVE MARÍA I"
22,"HAIL MARY - 1984","AVE MARÍA II"
23,"BESIDE THE RIVERS OF BABYLON","BABILONIA CRIMINAL"
24,"SONG OF BALAAM","BALAAM"
25,"I WILL BLESS THE LORD AT ALL TIMES","BENDECIRÉ AL SEÑOR EN TODO TIEMPO"
26,"BLESS THE LORD MY SOUL","BENDICE, ALMA MÍA, A YAHVEH"
27,"BLESSED MARY","BENDITA ERES TÚ, MARÍA"
28,"CANTICLE OF THE THREE YOUNG MEN IN THE FURNACE - 1ST PART","BENDITO ERES, SEÑOR"
29,"BLESSED BE GOD","BENDITO SEA DIOS"
30,"CANTICLE OF ZECHARIAH","BENEDICTUS"
31,"LET GOD ARISE","CANTAD A DIOS"
32,"PRAISE THE LORD ALL PEOPLES OF THE EARTH","CANTAD AL SEÑOR"
33,"CANTICLE OF THE THREE YOUNG MEN IN THE FURNACE - 2ND PART","CÁNTICO DE LOS TRES JÓVENES"
34,"SONG OF MOSES","CANTO DE MOISÉS"
35,"CARITAS CHRISTI","CARITAS CHRISTI URGET NOS"
36,"CARMEN '63","CARMEN 63"
37,"AS MEN CONDEMNED TO DEATH","COMO CONDENADOS A MUERTE"
38,"HOW GOOD IT IS","CÓMO ES MARAVILLOSO"
39,"LIKE A DOE YEARNS","COMO LA CIERVA"
40,"FROM A HYMN OF ROMAN THE MELODIST","COMO OVEJA QUE VE"
41,"CONSOLE MY PEOPLE","CONSOLAD A MI PUEBLO"
42,"","CRISTO ES LA LUZ"
43,"WHEN THE LORD","CUANDO EL SEÑOR"
44,"WHEN ISRAEL CAME OUT OF EGYPT","CUANDO ISRAEL SALIÓ DE EGIPTO"
45,"DAYENU","DAYENÚ"
46,"",""
47,"DE PROFUNDIS","DE PROFUNDIS"
48,"TELL ALL THE FAINT-HEARTED","DECIDLE A LOS DE CORAZÓN CANSADO"
49,"BEFORE THE ANGELS","DELANTE DE LOS ÁNGELES"
50,"DAY OF REST","DÍA DE REPOSO"
51,"SAYS THE LORD TO MY LORD","DICE EL SEÑOR A MI SEÑOR"
52,"HAPPY THE MAN","DICHOSO EL HOMBRE"
53,"THE WHITE HORSE","EL COMBATE ESCATOLÓGICO"
54,"THE SPIRIT OF THE LORD IS UPON ME","EL ESPÍRITU DEL SEÑOR ESTÁ SOBRE MÍ"
55,"LET HIM KISS ME","EL JACAL DE LOS PASTORES"
56,"WHO IS THIS WHO COMES FROM EDOM - THE WINEPRESSER","EL LAGARERO"
57,"THE MESSIAH, LION TO VANQUISH","EL MESÍAS LEÓN"
58,"THE FOOLISH ONE THINKS THERE IS NO GOD","EL NECIO PIENSA QUE DI0S NO EXISTE"
59,"THE PEOPLE WHO WALKED IN DARKNESS","EL PUEBLO QUE CAMINABA EN LAS TINIEBLAS"
60,"THE LORD ANNOUNCES A GOOD NEWS","EL SEÑOR ANUNCIA UNA NOTICIA"
61,"THE LORD IS MY SHEPHERD","EL SEÑOR ES MI PASTOR"
62,"THE LORD HAS GIVEN ME","EL SEÑOR ME HA DADO"
63,"ELI, ELI, LAMA SABACTANI?","ELÍ, ELÍ, LAMÁ SABACTANÍ"
64,"IN THE MIDST OF A GREAT CROWD","EN MEDIO DE AQUEL GENTÍO"
65,"THE DARK NIGHT","EN UNA NOCHE OSCURA"
66,"THE SONG OF THE LAMB","ERES DIGNO DE TOMAR EL LIBRO"
