title,psalm_subtitle,psalm_id,psalm_page,psalm_step,psalm_tags,psalm_capo,psalm_audio,psalm_html,psalm_text
"A GRANDIOSE SIGN","","163","282","ele","","0","https://aleyoscar.com/audio/en-us/a-grandiose-sign.mp3","<div class='column'></div>","a grandiose sign"
"A HOMILY OF MELITO OF SARDIS","","160","284","con","pan","0","https://aleyoscar.com/audio/en-us/a-homily-of-melito-of-sardis.mp3","<div class='column'></div>","sardis a of homily melito"
"A SHOOT SPRINGS UP FROM THE STOCK OF JESSE","","162","120","pre","","0","https://aleyoscar.com/audio/en-us/a-shoot-springs-up-from-the-stock-of-jesse.mp3","<div class='column'></div>","springs a from stock of jesse up the shoot"
"ABBA, ABBA, FATHER","","193","30","lit","hym","0","https://aleyoscar.com/audio/en-us/abba-abba-father.mp3","<div class='column'></div>","abba father"
"ABBA FATHER","","7","45-2","pre","","0","https://aleyoscar.com/audio/en-us/abba-father.mp3","<div class='column'></div>","abba father"
"ABRAHAM","","8","54","pre","","0","https://aleyoscar.com/audio/en-us/abraham.mp3","<div class='column'></div>","abraham"
"ACCLAIM THE LORD","","9","79-1","pre","","0","https://aleyoscar.com/audio/en-us/acclaim-the-lord.mp3","<div class='column'></div>","acclaim the lord"
"ACCLAMATION TO THE GOSPEL DURING LENT","","182","26-2","lit","ord","0","https://aleyoscar.com/audio/en-us/acclamation-to-the-gospel-during-lent.mp3","<div class='column'></div>","during to gospel acclamation the lent"
"AKEDA","","19","222","cat","var","0","https://aleyoscar.com/audio/en-us/akeda.mp3","<div class='column'></div>","akeda"
"ALLELUIA, HERE COMES THE KINGDOM","","15","45-1","pre","","0","https://aleyoscar.com/audio/en-us/alleluia-here-comes-the-kingdom.mp3","<div class='column'></div>","here kingdom alleluia the comes"
"ALLELUIA IN LECTIONARY","","180","25","lit","ord","0","https://aleyoscar.com/audio/en-us/alleluia-in-lectionary.mp3","<div class='column'></div>","lectionary alleluia in"
"ALLELUIA, PRAISE GOD","","13","43","pre","","0","https://aleyoscar.com/audio/en-us/alleluia-praise-god.mp3","<div class='column'></div>","god alleluia praise"
"AMEN, AMEN, AMEN","","17","72","pre","","0","https://aleyoscar.com/audio/en-us/amen-amen-amen.mp3","<div class='column'></div>","amen"
