title,psalm_subtitle,psalm_id,psalm_page,psalm_step,psalm_tags,psalm_capo,psalm_audio,psalm_html,psalm_text
"A LA CENA DEL CORDERO","","237","237","ele","pas|pen","0","https://aleyoscar.com/audio/es-es/a-la-cena-del-cordero.mp3","<div class='column'></div>","la a del cena cordero"
"A LA VÍCTIMA PASCUAL","Secuencia de Pascua","1","1","pre","pas|pen","5","https://aleyoscar.com/audio/es-es/a-la-victima-pascual.mp3","<div class='column'><div class='section psalmista es-es'><p class='line'><span class='chord'>La-</span>A la víctima pascu<span class='chord'>La7</span>al</p><p class='line'>ofrecemos hoy</p><p class='line'>el sacrificio de al<span class='chord'>Re-9</span>abanza.</p><p class='line'><span class='chord'>Fa7aum</span>El cordero ha redimido el reb<span class='chord'>Mi</span>año,</p><p class='line'><span class='chord'>Fa7aum</span>el inocente <span class='chord'>Fa</span>ha reconciliado</p><p class='line'>los pecadores al P<span class='chord'>Mi</span>adre.</p><p class='line'><span class='chord'>La7</span>Muerte y vida se han enfrentado</p><p class='line'>en un prodigioso <span class='chord'>Re-9</span>duelo</p><p class='line'><span class='chord'>Fa7</span>el autor de la Vida estaba mu<span class='chord'>Mi</span>erto,</p><p class='line'>mas a<span class='chord'>Fa7</span>hora está vivo y tr<span class='chord'>Mi</span>iunfa.</p><p class='line'><span class='chord'>La7</span>Dinos tú, María:</p><p class='line'>¿qué has visto en el camino?</p><p class='line'><span class='chord'>Fa7</span>«La tumba de Cristo va<span class='chord'>Mi</span>cía,</p><p class='line'><span class='chord'>Fa7</span>la Gloria del Señor y vivo C<span class='chord'>Mi</span>risto,</p><p class='line'><span class='chord'>Fa</span>los ángeles, las vendas y el sud<span class='chord'>Mi</span>ario.»</p></div></div><div class='column'><div class='section comitium es-es'><p class='line'>PORQUE CR<span class='chord'>Fa</span>ISTO, MI ESPERANZA,</p><p class='line'>¡HA RESUCI<span class='chord'>Mi</span>TADO!</p><p class='line'><span class='chord'>Fa</span>Y NOS PRECEDE EN GALIL<span class='chord'>Mi</span>EA,</p><p class='line'><span class='chord'>Fa</span>Y NOS PRECEDE EN GALIL<span class='chord'>Mi</span>EA.</p><p class='line'><span class='chord'>Re-</span>SÍ QUE ES C<span class='chord'>Mi</span>IERTO,</p><p class='line'><span class='chord'>Fa</span>CRISTO HA RESUCIT<span class='chord'>Mi</span>ADO.</p><p class='line'><span class='chord'>Re-</span>SÍ QUE ES C<span class='chord'>Mi</span>IERTO,</p><p class='line'><span class='chord'>Fa</span>CRISTO HA RESUCIT<span class='chord'>Mi</span>ADO.</p><p class='line'><span class='chord'>Fa</span>Y NOS PRECEDE EN GALIL<span class='chord'>Mi</span>EA,</p><p class='line'><span class='chord'>Fa</span>Y NOS PRECEDE EN GALIL<span class='chord'>Mi</span>EA.</p></div><div class='section psalmista es-es'><p class='line'><span class='chord'>Fa</span>Tú, Rey victorioso, danos tú la salvac<span class='chord'>Mi</span>ión.</p></div></div>","hoy el pecadores se vivo salvacion ahora gloria redimido danos es ofrecemos los reconciliado camino cordero rey vida la enfrentado esta ha vendas secuencia de que rebano pascua mas nos inocente galilea un alabanza vacia autor padre prodigioso mi a muerte del muerto tumba en cierto sudario dinos estaba y han cristo angeles precede si las porque pascual tu esperanza duelo triunfa maria senor victima al has resucitado victorioso visto sacrificio"
"A NADIE DEMOS OCASIÓN DE TROPIEZO","2o Corintios 6,3ss","2","2","pre","","0","https://aleyoscar.com/audio/es-es/a-nadie-demos-ocasion-de-tropiezo.mp3","<div class='column'><div class='section psalmista es-es'><p class='line'><span class='chord'>La-</span>Hermanos, a nadie demos ocasión de tro<span class='chord'>Re-</span>piezo,</p><p class='line'>herm<span class='chord'>Mi</span>anos, vivamos aceptando las tribulacion<span class='chord'>La-</span>es,</p><p class='line'><span class='chord'>Re-</span>necesidades, angustias y fa<span class='chord'>Mi</span>tigas;</p><p class='line'><span class='chord'>Re-</span>viviendo en pureza, paciencia y bon<span class='chord'>Mi</span>dad;</p><p class='line'>en el Espíritu <span class='chord'>Fa</span>Santo, y en el poder de D<span class='chord'>Mi</span>ios;</p><p class='line'>con las armas de la jus<span class='chord'>Fa</span>ticia:</p><p class='line'>las de la derecha y las de la izq<span class='chord'>Mi</span>uierda.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>La-</span>HERMANOS, A NADIE DEMOS</p><p class='line'>OCASIÓN DE TROP<span class='chord'>Re-</span>IEZO,</p><p class='line'>HERM<span class='chord'>Mi</span>ANOS, VIVAMOS ACEPTANDO</p><p class='line'>LAS TRIBULAC<span class='chord'>La-</span>IONES,</p><p class='line'><span class='chord'>Re-</span>NECESIDADES, ANGUSTIAS Y FA<span class='chord'>Mi</span>TIGAS.</p></div><div class='section psalmista es-es'><p class='line'><span class='chord'>Re-</span>En calumnias y en buena <span class='chord'>Mi</span>fama,</p><p class='line'><span class='chord'>Re-</span>en gloria e ignom<span class='chord'>Mi</span>inia; como po<span class='chord'>Re-</span>bres,</p><p class='line'>aunque enriqueciendo a m<span class='chord'>Mi</span>uchos;</p><p class='line'>como quienes nada <span class='chord'>Fa</span>tienen,</p><p class='line'>aunque lo poseemos <span class='chord'>Mi</span>todo.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>La-</span>HERMANOS, A NADIE DEMOS ...</p></div></div><div class='column'><div class='section psalmista es-es'><p class='line'><span class='chord'>La7</span>¡Hermanos!, os hemos hablado con fran<span class='chord'>Re-</span>queza;</p><p class='line'>os hemos hablado con la ver<span class='chord'>Mi</span>dad.</p><p class='line'><span class='chord'>Re-</span>¡No unciros al yugo desigual con los pa<span class='chord'>Mi</span>ganos!</p><p class='line'><span class='chord'>Re-</span>¿Qué participación hay entre el fiel y el in<span class='chord'>Mi</span>fiel?</p><p class='line'>¿Qué unión entre el santuario de D<span class='chord'>Fa</span>ios</p><p class='line'>y el santuario de los <span class='chord'>Mi</span>ídolos?</p><p class='line'><span class='chord'>Re-</span>Porque somos el santuario de D<span class='chord'>Mi</span>ios.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>La-</span>HERMANOS, A NADIE DEMOS ...</p></div><div class='section psalmista es-es'><p class='line'><span class='chord'>La7</span>Tengo plena confianza en el hab<span class='chord'>Re-</span>laros;</p><p class='line'>porque estoy orgulloso de vo<span class='chord'>Mi</span>sotros.</p><p class='line'><span class='chord'>Re-</span>¡No unciros al yugo desigual con los pa<span class='chord'>Mi</span>ganos!</p><p class='line'><span class='chord'>Re-</span>¿Qué participación hay entre el fiel y el in<span class='chord'>Mi</span>fiel?</p><p class='line'>¿Qué unión entre el santuario de D<span class='chord'>Fa</span>ios</p><p class='line'>y el santuario de los <span class='chord'>Mi</span>ídolos?</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>La-</span>HERMANOS, A NADIE DEMOS ...</p></div><div class='section psalmista es-es'><p class='line'><span class='chord'>Re-</span>En pureza, paciencia y bond<span class='chord'>Mi</span>ad;</p><p class='line'>en el Espíritu <span class='chord'>Fa</span>Santo, y en el poder de D<span class='chord'>Mi</span>ios.</p></div></div>","calumnias lo orgulloso somos viviendo pureza fiel tienen izquierda vosotros franqueza bondad infiel santuario porque union con aceptando gloria los hay os demos estoy a ocasion poseemos todo hablado yugo hablaros quienes paganos buena como poder no las 63ss derecha enriqueciendo plena la que confianza justicia corintios fama y vivamos nada hermanos paciencia unciros entre al nadie verdad desigual participacion ignominia muchos el necesidades fatigas pobres tropiezo de aunque santo armas en tengo idolos 2o espiritu dios e tribulaciones hemos angustias"
"A TI LEVANTO MIS OJOS","","3","3","pre","com","0","https://aleyoscar.com/audio/es-es/a-ti-levanto-mis-ojos.mp3","<div class='column'><div class='section comitium es-es'><p class='line'><span class='chord'>Re-</span>A TI LEVANTO MIS <span class='chord'>La7</span>OJOS,</p><p class='line'>A <span class='chord'>Sol-</span>TI QUE HABITAS EN EL C<span class='chord'>La7</span>IELO.</p></div><div class='section psalmista es-es'><p class='line'><span class='chord'>Re-</span>Como los ojos de los siervos están fijos en las manos de sus se<span class='chord'>La7</span>ñores.</p><p class='line'><span class='chord'>Sol-</span>Como los ojos de la esclava en las manos de su se<span class='chord'>La7</span>ñora,</p><p class='line'><span class='chord'>Si7</span>así nuestros ojos miran al Se<span class='chord'>La7</span>ñor,</p><p class='line'>esp<span class='chord'>Si7</span>erando que tenga piedad<span class='chord'>La7</span>, espera<span class='chord'>Si7</span>ndo <span class='chord'>La7</span>que tenga piedad.</p></div><div class='section comitium es-es'><p class='line'>Mujeres: <span class='chord'>Re-</span>¡PIEDAD DE NOSOTROS, SE<span class='chord'>La7</span>ÑOR!</p><p class='line'>Hombres: <span class='chord'>Sib7</span>¡PIEDAD DE NOSOTROS, SE<span class='chord'>La7</span>ÑOR!</p><p class='line'>Mujeres: <span class='chord'>Re-</span>¡QUE DEMASIADO SE HAN BURLADO DE NOS<span class='chord'>La7</span>OTROS,</p><p class='line'>Hombres: QUE NUESTRA<span class='chord'>Sib7</span> ALMA ESTÁ SACIADA DE DESPR<span class='chord'>La7</span>ECIOS!</p><p class='line'>Mujeres: <span class='chord'>Re-</span>¡DE LAS BURLAS DE LOS SATIS<span class='chord'>La7</span>FECHOS,</p><p class='line'>Hombres: DEL DESP<span class='chord'>Sib7</span>RECIO DE LOS SOBERBI<span class='chord'>La7</span>OS!</p><p class='line'>Mujeres: <span class='chord'>Re-</span>¡PIEDAD DE NOSOTROS, SE<span class='chord'>La7</span>ÑOR!</p><p class='line'>Hombres: <span class='chord'>Sib7</span>¡PIEDAD DE NOSOTROS, SE<span class='chord'>La7</span>ÑOR!</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>Re-</span>A TI LEVANTO MIS <span class='chord'>La7</span>OJOS ...</p></div></div>","saciada el mis se soberbios nosotros los esperando desprecio sus la esta su tenga ti que de fijos levanto burlas nuestra desprecios a del habitas demasiado en nuestros estan asi burlado esclava miran como mujeres han ojos manos las senores senora hombres alma senor al piedad cielo satisfechos siervos"
"A TI, SEÑOR, EN MI CLAMOR IMPLORO","Salmo 142 (141)","4","4","pre","com","2","https://aleyoscar.com/audio/es-es/a-ti-senor-en-mi-clamor-imploro.mp3","<div class='column'><div class='section comitium es-es'><p class='line'><span class='chord'>La-</span>A TI, SEÑOR, EN MI CLAMOR IMPL<span class='chord'>Re-</span>ORO.</p><p class='line'>A TI, SEÑOR, EN MI CLAMOR SUPL<span class='chord'>La-</span>ICO.</p><p class='line'><span class='chord'>Mi7</span>A TI DERRAMO MI LAMENTO,</p><p class='line'><span class='chord'>Fa</span>A TI MI ANGUSTIA EXPONGO.</p></div><div class='section psalmista es-es'><p class='line'><span class='chord'>Re-</span>Siento que el espíritu en mí se apaga;</p><p class='line'>mas tú conoces mi send<span class='chord'>Mi7</span>ero.</p><p class='line'><span class='chord'>La-</span>Mira, Señor, que en el ca<span class='chord'>Re-</span>mino,</p><p class='line'>mira, Señor, que me han tendido un <span class='chord'>La-</span>lazo.</p><p class='line'><span class='chord'>Mi</span>Mira, Señor, que a la derecha no hay nin<span class='chord'>Mi7</span>guno,</p><p class='line'>nin<span class='chord'>Fa</span>guno que me con<span class='chord'>Mi</span>ozca.</p><p class='line'><span class='chord'>Re-</span>Huye de mí todo consuelo,</p><p class='line'>que no hay <span class='chord'>Fa</span>nadie que se cuide de mi <span class='chord'>Mi7</span>alma.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>Fa</span>A TI, YO CLAMO S<span class='chord'>Sol</span>EÑOR;</p><p class='line'>A TI, YO DIGO: ¡TÚ SOLO ERES MI RE<span class='chord'>Mi7</span>FUGIO,</p><p class='line'><span class='chord'>Fa</span>TÚ ERES MI PORCIÓN EN ESTA TIERRA,</p><p class='line'>MI ÚNICA FELICI<span class='chord'>Mi</span>DAD!</p></div></div><div class='column'><div class='section psalmista es-es'><p class='line'><span class='chord'>Re-</span>Escúchame, Señor, que estoy ll<span class='chord'>Mi</span>orando,</p><p class='line'><span class='chord'>Fa</span>estoy tan deprim<span class='chord'>Mi</span>ido.</p><p class='line'><span class='chord'>Fa</span>¡Líbrame de estos enemigos</p><p class='line'><span class='chord'>Sol</span>que son más fuertes que <span class='chord'>Mi</span>yo!</p><p class='line'><span class='chord'>Fa</span>¡Saca mi alma de esta cárcel,</p><p class='line'><span class='chord'>Sol</span>y yo daré gracias a tu <span class='chord'>Mi</span>nombre!</p><p class='line'><span class='chord'>Re-</span>En torno a mí los santos harán corro,</p><p class='line'><span class='chord'>Fa</span>me felicitarán por tu favor hacia <span class='chord'>Mi</span>mí.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>La-</span>A Tl, SEÑOR, EN MI CLAMOR ...</p><p class='line'><span class='chord'>Fa</span>A TI, YO CLAMO SEÑ<span class='chord'>Sol</span>OR ...</p></div></div>","saca conoces siento santos un lamento angustia derramo unica tan escuchame lazo favor porcion imploro librame salmo los tierra hay solo torno ti ninguno apaga estoy mi a todo han por no consuelo alma expongo clamor corro tendido fuertes derecha camino la esta estos que 142 mas felicitaran son refugio cuide y sendero eres yo huye nadie suplico el se dare conozca 141 hacia haran felicidad de digo tl enemigos me mira carcel nombre deprimido en clamo espiritu llorando tu senor gracias"
"A TI, SEÑOR, LEVANTO MI ALMA","Salmo 25 (24)","5","5","pre","com","3","https://aleyoscar.com/audio/es-es/a-ti-senor-levanto-mi-alma.mp3","<div class='column'><div class='section comitium es-es'><p class='line'><span class='chord'>La-</span>A TI, SEÑOR, LEVANTO MI <span class='chord'>Mi</span>ALMA,</p><p class='line'>A TI, <span class='chord'>Re-</span>OH D<span class='chord'>Fa</span>IOS M<span class='chord'>Mi</span>ÍO.</p></div><div class='section psalmista es-es'><p class='line'><span class='chord'>La-</span>En ti confío, Se<span class='chord'>Mi</span>ñor,</p><p class='line'>¡no triunfen sobre m<span class='chord'>Re-</span>í mi<span class='chord'>Fa</span>s enem<span class='chord'>Mi</span>igos!</p><p class='line'><span class='chord'>La-</span>Muéstrame, Señor, tu cam<span class='chord'>Mi</span>ino,</p><p class='line'>enséñame, Señor<span class='chord'>Re-</span>, tu<span class='chord'>Fa</span> send<span class='chord'>Mi</span>ero.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>La-</span>A TI, SEÑOR, LEVANTO MI <span class='chord'>Mi</span>ALMA ...</p></div><div class='section psalmista es-es'><p class='line'><span class='chord'>La-</span>Acuérdate, Señor, de tu ter<span class='chord'>Mi</span>nura,</p><p class='line'>de tu inmensa compasión, <span class='chord'>Re-</span>que <span class='chord'>Fa</span>son de s<span class='chord'>Mi</span>iempre.</p><p class='line'><span class='chord'>La-</span>De mis pecados, Señor, no te ac<span class='chord'>Mi</span>uerdes,</p><p class='line'>acuérdate, Señor, <span class='chord'>Re-</span>que <span class='chord'>Fa</span>eres miseric<span class='chord'>Mi</span>ordia.</p><p class='line'><span class='chord'>Fa</span>Rocíame, Señor, de tu miseric<span class='chord'>Mi</span>ordia</p><p class='line'>Sum<span class='chord'>Fa</span>érgeme, Señor, en tu miseric<span class='chord'>Mi</span>ordia.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>La-</span>A TI, SEÑOR, LEVANTO MI <span class='chord'>Mi</span>ALMA ...</p></div></div>","mis acuerdes salmo 25 camino siempre confio ti de compasion que enemigos sumergeme levanto muestrame misericordia te mi ensename a inmensa son en 24 pecados ternura rociame sendero eres dios mio no tu alma oh senor acuerdate triunfen sobre"
"A TI, SEÑOR, SE DEBE LA ALABANZA EN SIÓN","Salmo 65 (64)","6","6","pre","com","3","https://aleyoscar.com/audio/es-es/a-ti-senor-se-debe-la-alabanza-en-sion.mp3","<div class='column'><div class='section psalmista es-es'><p class='line'><span class='chord'>Re-</span>A ti, Señor, se debe la alabanza, en S<span class='chord'>La7</span>ión.</p><p class='line'>A ti se te cumple el voto, en Jerusa<span class='chord'>Re-</span>lén.</p><p class='line'><span class='chord'>Sol-</span>A ti que escuchas la ora<span class='chord'>Re-</span>ción</p><p class='line'>viene todo mor<span class='chord'>La7</span>tal, viene todo mor<span class='chord'>Re-</span>tal.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>Sib7</span>A TI QUE ESCUCHAS LA ORAC<span class='chord'>La7</span>IÓN</p><p class='line'><span class='chord'>Sib7</span>VIENE TODO MORTAL,</p><p class='line'>VIENE TODO MORT<span class='chord'>La7</span>AL.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>Re-</span>Pesan sobre nosotros nuestros pe<span class='chord'>La7</span>cados,</p><p class='line'>mas tú perdonas nuestras cu<span class='chord'>Re-</span>lpas.</p><p class='line'>Dichoso el que tú eliges, el que tú <span class='chord'>La7</span>llamas,</p><p class='line'>vivirá en tus <span class='chord'>Re-</span>atrios.</p><p class='line'><span class='chord'>Sol-</span>A ti que escuchas la ora<span class='chord'>Re-</span>ción</p><p class='line'>viene todo mor<span class='chord'>La7</span>tal, viene todo mor<span class='chord'>Re-</span>tal.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>Sib7</span>A TI QUE ESCUCHAS LA ORAC<span class='chord'>La7</span>IÓN ...</p></div></div><div class='column'><div class='section psalmista es-es'><p class='line'><span class='chord'>Re-</span>¡Nos saciaremos de los bienes de tu <span class='chord'>La7</span>casa,</p><p class='line'>de la santidad de tu <span class='chord'>Re-</span>templo!</p><p class='line'>Con los prodigios de tu amor</p><p class='line'>tú nos <span class='chord'>La7</span>hablas,</p><p class='line'>con los portentos de tu justicia</p><p class='line'>nos re<span class='chord'>Re-</span>spondes.</p><p class='line'><span class='chord'>Sol-</span>A ti que escuchas la ora<span class='chord'>Re-</span>ción</p><p class='line'>viene todo mor<span class='chord'>La7</span>tal, viene todo mor<span class='chord'>Re-</span>tal.</p></div><div class='section comitium es-es'><p class='line'><span class='chord'>Sib7</span>A TI QUE ESCUCHAS LA ORAC<span class='chord'>La7</span>IÓN ...</p></div></div>","con el atrios se salmo cumple respondes debe nosotros santidad los la saciaremos oracion ti que mortal pesan mas 64 nos de tus jerusalen alabanza prodigios amor dichoso te bienes casa escuchas portentos a eliges justicia nuestras viene todo en nuestros 65 pecados templo hablas culpas sion perdonas tu vivira senor llamas voto sobre"
"ABBÁ, PADRE","","7","7","pre","int|pas|pen","0","https://aleyoscar.com/audio/es-es/abba-padre.mp3","<div class='column'></div>","abba padre"
"ABRAHAM","Teofanía de Mambré - Génesis 18,1-5","8","8","pre","int","0","https://aleyoscar.com/audio/es-es/abraham.mp3","<div class='column'><div class='section psalmista es-es'><p class='line'><span class='chord'>La-</span>Hacía calor aquel día</p><p class='line'><span class='chord'>Re-</span>cuando Abra<span class='chord'>Mi</span>ham estaba sentado</p><p class='line'>delante de su t<span class='chord'>La-</span>ienda.</p><p class='line'>Hacía calor aquel día</p><p class='line'><span class='chord'>Re-</span>cuando Abr<span class='chord'>Mi</span>aham estaba sentado</p><p class='line'>cerca del encinar de Mamb<span class='chord'>La-</span>ré.</p><p class='line'>Alzando los<span class='chord'>Sol</span> ojos, mi<span class='chord'>Fa</span>ró,</p><p class='line'>y tres hombres de <span class='chord'>Mi</span>pie</p><p class='line'>estaban de<span class='chord'>La-</span>lante.</p><p class='line'>En cuanto los <span class='chord'>Mi</span>vio</p><p class='line'>se inclinó hasta el suelo y <span class='chord'>La-</span>dijo:</p><p class='line'>«Oh Señor <span class='chord'>Sol</span>mío,</p><p class='line'>no pases te r<span class='chord'>Fa</span>uego sin deten<span class='chord'>Mi</span>erte.»</p></div><div class='section comitium es-es'><p class='line'>SIN DETEN<span class='chord'>La-</span>ERTE, NO PASES TE R<span class='chord'>Sol</span>UEGO</p><p class='line'>SIN DETEN<span class='chord'>Fa</span>ERTE, SIN DETEN<span class='chord'>Mi</span>ERTE.</p></div></div><div class='column'><div class='section psalmista es-es'><p class='line'><span class='chord'>La-</span>«Os traeré un poco de <span class='chord'>Mi</span>agua,</p><p class='line'>os lavaré los pies</p><p class='line'>y reposaréis a la <span class='chord'>La-</span>sombra,</p><p class='line'>0s traeré un bo<span class='chord'>Mi</span>cado, os reconfortaréis</p><p class='line'>y luego seguiréis ade<span class='chord'>La-</span>lante.</p><p class='line'>No por casual<span class='chord'>Sol</span>idad</p><p class='line'>habéis pasado <span class='chord'>Fa</span>hoy delante de <span class='chord'>Mi</span>mí.»</p></div><div class='section comitium es-es'><p class='line'>«OH SEÑOR M<span class='chord'>La-</span>ÍO, NO PASES TE R<span class='chord'>Sol</span>UEGO</p><p class='line'>SIN DETEN<span class='chord'>Fa</span>ERTE, SIN DETEN<span class='chord'>Mi</span>ERTE</p><p class='line'>SIN DETEN<span class='chord'>La-</span>ERTE, NO PASES TE R<span class='chord'>Sol</span>UEGO</p><p class='line'>SIN DETEN<span class='chord'>Fa</span>ERTE, SIN DETEN<span class='chord'>Mi</span>ERTE.</p></div></div>","hoy tienda el cuando se sin miro poco pie los cuanto 0s hacia casualidad cerca la habeis ruego reposareis alzando su de os teofania un sombra tres te sentado suelo pases lavare a luego del abraham bocado mi en vio estaba 1815 seguireis pasado calor agua y genesis estaban ojos encinar no mio hombres adelante dia delante hasta oh traere pies dijo inclino senor por reconfortareis detenerte mambre aquel"
"ACLAMACIONES A LA ORACIÓN DE LOS FIELES","","179","179","lit","","0","https://aleyoscar.com/audio/es-es/aclamaciones-a-la-oracion-de-los-fieles.mp3","<div class='column'></div>","la a oracion fieles de aclamaciones los"
